Product Name  , Product price  , Item Number  , Model Number  , Product Category  , Product Description  
 Union & Scale™ MidMod 60" Computer and Writing Storage Desk  , $219.99  , 24398973  , UN59685-CC  , Computer Office Desks  , Harness vintage style in your office with this Union & Scale™ MidMod storage desk.  
 Whalen Asherton 60" W L-Shaped Computer Desk  , $249.99 , 2736559 , SPUS-ASHD , Computer Office Desks  , Improve your workspace with the sleek form and ample storage of this Whalen Asherton L desk.  
 Staples Kendall Park L-Desk  , $279.99 , 24290427 , ST52493-CC , Computer Office Desks  , Complete your home or small office with the Kendall Park Cherry L-Shaped desk in a traditional cherry laminate finish.  
 Pendaflex SureHook Reinforced Hanging File Folders Extra Capacity Letter Size  Standard Green  , $38.99 , 901-784623 , 6152X2  , Hanging File Folders  , Archive documents securely with these Pendaflex SureHook reinforced standard green extra-capacity 1/5-cut tab letter-size hanging folders.  
 Quill Brand® 100% Recycled Hanging File Folders 1/5-Cut Legal Size Green  , $40.99 , 901-745315 , 745315  , Hanging File Folders  , Quill Brand Green Hanging File Folders Protect Company Files.  
 Hanging File Folders Standard Green Letter 5-Tab 250/Box Full Case  , $77.99 , 901-179494 , 57751  , Hanging File Folders  , Create an efficient filing system with this 250-count carton of TRU RED letter-size green hanging file folders.  
 Dell G15 , $859.99 , G15RE-A975GRY-N , G15RE-A975GRY-N  , Dell Gaming Laptops in Gaming Desktops & Laptops , The powerful AMD Ryzen 7 processor features machine intelligence that anticipates your needs Graphics Backed by 4GB GDDR6 dedicated video memory for a fast advanced GPU to fuel your games Backlit keyboard The streamlined design embeds a fingerprint reader in the power button and a new keyboard. 
 Dell G3 , $1774.20 , G3579-5965BLK-PUS , G3579-5965BLK-PUS , Dell Gaming Laptops in Gaming Desktops & Laptops , Go where the game takes you Powerful graphics in a thin 15" gaming notebook Includes the NVIDIA® GeForce™ 1050 graphics card. 
 WorkPro® Oceanic Mesh/Fabric Ergonomic High-Back Executive Chair  , $229.99 , 2724332 , CHR-6411-0101 , Ergonomic Office Chairs , Each Oceanic chair is manufactured using 1.45 lbs of recycled ocean plastic helping to keep oceans clean.  
 WorkPro® 12000 Series Ergonomic Mesh/Fabric Mid-Back Chair  , $429.99 , 9702132 , EHB-WB-LBM-F , Ergonomic Office Chairs , A swivel base and casters allow easy movement while the nylon and aluminum frame pairs strength with durability.  
 